crimeCategory,latitude,longitude
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.983819,77.581111
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.917295,77.649213
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.911267,77.626552
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.914267,77.648969
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.923802,77.639918
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.919769,77.643192
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.911985,77.651834
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.911834,77.635208
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.996858,77.573244
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.996277,77.588612
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.995538,77.589583
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.988738,77.581149
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.983867,77.58333
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.99151,77.57988
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.923837,77.640001
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.924433,77.649879
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.910617,77.638127
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.985298,77.679282
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.996421,77.668187
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.913752,77.635316
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.864107,77.575212
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.906505,77.573009
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.877062,77.583969
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.891835,77.572902
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.961214,77.562121
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.965103,77.562098
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.977468,77.570999
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.969477,77.630187
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.973333,77.615944
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.96202,77.657879
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.97508,77.61827
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.980184,77.571064
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.960961,77.638768
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.98169,77.623302
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.975164,77.625859
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.95966,77.55588
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.964233,77.570111
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.960926,77.638653
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.960911,77.639204
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.982013,77.623315
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.861486,77.580339
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.895883,77.566184
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.887477,77.55184
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.885312,77.570492
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.888293,77.561783
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.884968,77.582532
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.883472,77.566388
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.961588,77.56204
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974824,77.570495
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.886661,77.559358
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.888256,77.56206
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.915751,77.561433
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.898241,77.559055
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.957708,77.641442
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.897761,77.561614
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.89211,77.581307
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.899414,77.57283
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.903077,77.532111
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.908351,77.564903
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.904705,77.573445
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.888034,77.581898
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.911934,77.62614
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8964,77.635246
