OBJECTID,WARD_NAME,WARDNO,LocationName,KGISFVLID,ZONE,WKT,longitude,latitude
1,Hemmigepura,198,Mantri Lake view Appartment Next to Talagattapura Lake,1,RR Nagar,POINT (77.5324350003062 12.867499000001),77.5324350003062,12.867499000001
2,Hemmigepura,198,Kendriya nagara,2,RR Nagar,POINT (77.5280829995545 12.8717750001904),77.5280829995545,12.8717750001904
3,Hemmigepura,198,Raghuvanahalli ,3,RR Nagar,POINT (77.5426940003978 12.8777110000686),77.5426940003978,12.8777110000686
4,Hemmigepura,198,"Balaji Layout, Kanakapura Road",4,RR Nagar,POINT (77.5412729999903 12.877864999889),77.5412729999903,12.877864999889
5,Begur,192,Singasandra Country club road,5,Bommanahalli,POINT (77.6374179998471 12.8789069996308),77.6374179998471,12.8789069996308
6,Arakere,193,Someshwara layout Arekere,6,Bommanahalli,POINT (77.6040510003254 12.8799690003176),77.6040510003254,12.8799690003176
7,Arakere,193,BDA layout Hulimavu,7,Bommanahalli,POINT (77.6039869998664 12.8805180001676),77.6039869998664,12.8805180001676
8,Arakere,193,Kempamma layout RSD Arekere,8,Bommanahalli,POINT (77.6044149998363 12.8805860001823),77.6044149998363,12.8805860001823
9,Arakere,193,Hulimavu Sri Lanka colony,9,Bommanahalli,POINT (77.608253000444 12.8817559999585),77.608253000444,12.8817559999585
10,Singasandra,191,Hosur road near Royal Enfield show room,10,Bommanahalli,POINT (77.6420749998582 12.8859370001465),77.6420749998582,12.8859370001465
11,Bilekhalli,188,Anugraha layout Billekahalli,11,Bommanahalli,POINT (77.611508000245 12.8965700001818),77.611508000245,12.8965700001818
12,Bellandur,150,Doddakannelli,12,Bommanahalli,POINT (77.6929070003515 12.8978170003302),77.6929070003515,12.8978170003302
13,Hongasandra,189,Garebhavipalya NH  service road junction,13,Bommanahalli,POINT (77.6331209998401 12.9009220002675),77.6331209998401,12.9009220002675
14,Hongasandra,189,Oxford college NH Junction,14,Bommanahalli,POINT (77.6314429996222 12.9013600001532),77.6314429996222,12.9013600001532
15,Bilekhalli,188,Anugraha layout RSD phase 1,15,Bommanahalli,POINT (77.6112620004318 12.9018859997625),77.6112620004318,12.9018859997625
16,JP Nagar,177,Dollars Colony JP Nagar,16,Bommanahalli,POINT (77.5988530001048 12.9033309997057),77.5988530001048,12.9033309997057
17,Bilekhalli,188,Dollars Colony NS palya (BTM 2nd stage),17,Bommanahalli,POINT (77.6028070002702 12.9044550001162),77.6028070002702,12.9044550001162
18,Bommanahalli,175,Hongasandara Ambedkar Nagar,18,Bommanahalli,POINT (77.6267580001024 12.9047820003245),77.6267580001024,12.9047820003245
19,Bilekhalli,188,NS palya RSD,19,Bommanahalli,POINT (77.6030360002863 12.9049030001327),77.6030360002863,12.9049030001327
20,HSR Layout,174,HSR sector 2 Garden layout,20,Bommanahalli,POINT (77.6449330003609 12.909073000038),77.6449330003609,12.909073000038
21,HSR Layout,174,HSR 3rd sector lead off drains,21,Bommanahalli,POINT (77.6415849997452 12.9093590002885),77.6415849997452,12.9093590002885
22,Hemmigepura,198,BEML layout,22,RR Nagar,POINT (77.5127089997889 12.9110659996409),77.5127089997889,12.9110659996409
23,HSR Layout,174,Sector 6 lead off drains surrounding 5th and 9th main,23,Bommanahalli,POINT (77.6324019996395 12.911655000009),77.6324019996395,12.911655000009
24,HSR Layout,174,HSR layout 9th and 5th main,24,Bommanahalli,POINT (77.6324019996395 12.911655000009),77.6324019996395,12.911655000009
25,Shakambari Nagar,179,Navodaya Layout,25,South,POINT (77.574917000122 12.9140560001083),77.574917000122,12.9140560001083
26,BTM Layout,176,BTM layout,26,South,POINT (77.6167499995868 12.9157499999453),77.6167499995868,12.9157499999453
27,Rajarajeshwari Nagar,160,"Near Kapi Katte hotel, BEML Layout, 3rd Stage",27,RR Nagar,POINT (77.5205070003507 12.9157930001939),77.5205070003507,12.9157930001939
28,Rajarajeshwari Nagar,160,Shankarappa Layout to BEML gate,28,RR Nagar,POINT (77.5225559997874 12.9164060001552),77.5225559997874,12.9164060001552
29,Rajarajeshwari Nagar,160,RR nagar BEML 5th stage near Kapi katte hotel,29,RR Nagar,POINT (77.5208829999744 12.9164329997018),77.5208829999744,12.9164329997018
30,JP Nagar,177,Hosur road Jayadeva flyover to Udupi Garden Signal ,30,South,POINT (77.599888999588 12.9164720003761),77.599888999588,12.9164720003761
31,Bommanahalli,175,Silk Board junction,31,South,POINT (77.6227219995918 12.9171940003384),77.6227219995918,12.9171940003384
32,Hemmigepura,198,Global Village Joining V Valley at Global Village Property,32,RR Nagar,POINT (77.5019910002475 12.918066999854),77.5019910002475,12.918066999854
33,Jakkasandra,173,Silk Board,33,South,POINT (77.6218890001268 12.9186389995745),77.6218890001268,12.9186389995745
34,Varthuru,149,Gunjur,34,Mahadevapura,POINT (77.7324980001139 12.9210900003641),77.7324980001139,12.9210900003641
35,Jayanagar East,170,Bannerghatta road near Oakyard Apartment,35,South,POINT (77.5999439997024 12.9216939998662),77.5999439997024,12.9216939998662
36,Hemmigepura,198,"Heorhalli, Mahadeshwara Nagara",36,RR Nagar,POINT (77.5114800003827 12.9222039999469),77.5114800003827,12.9222039999469
37,Rajarajeshwari Nagar,160,Basaveshwara Circle BEML 3rd stage,37,RR Nagar,POINT (77.5185219998343 12.9228170001818),77.5185219998343,12.9228170001818
38,Gurappanapalya,171,Gurappanapalya Banneragatta main road,38,South,POINT (77.6004439997076 12.9230000002928),77.6004439997076,12.9230000002928
39,Rajarajeshwari Nagar,160,Gurudutta Layout to Sapthagiri Layout,39,RR Nagar,POINT (77.5389369996774 12.9232390000653),77.5389369996774,12.9232390000653
40,Hemmigepura,198,Pattanagere main road beside RV college,40,RR Nagar,POINT (77.5050029996364 12.9234149999601),77.5050029996364,12.9234149999601
41,Hosakerehalli,161,"Near Dattarthraya Temple, Hosakerehalli",41,South,POINT (77.5391330000573 12.9246960001373),77.5391330000573,12.9246960001373
42,Rajarajeshwari Nagar,160,Halagevadeyarahalli lake to Kenchenahalli  lake,42,RR Nagar,POINT (77.5215560001489 12.9248170004001),77.5215560001489,12.9248170004001
43,Madivala,172,Tavarekere Main road,43,South,POINT (77.6090279999762 12.9249439996397),77.6090279999762,12.9249439996397
44,Bellandur,150,Bellandur,44,Mahadevapura,POINT (77.6781159995721 12.926463999968),77.6781159995721,12.926463999968
45,Rajarajeshwari Nagar,160,"Jawaregowdana Doddi, Bangarappa Nagara",45,RR Nagar,POINT (77.5203309995722 12.9285690002317),77.5203309995722,12.9285690002317
46,Varthuru,149,Sarjapura road,46,Mahadevapura,POINT (77.7179079998361 12.9287960003197),77.7179079998361,12.9287960003197
47,Suddgunte Palya,152,Bannerghatta Road near spar super market,47,South,POINT (77.6010279998388 12.9302500000676),77.6010279998388,12.9302500000676
48,Rajarajeshwari Nagar,160,Near DIAT college,48,RR Nagar,POINT (77.5129919999065 12.9315919998495),77.5129919999065,12.9315919998495
49,Jayanagar,153,Gulbarga Calony RBI extension,49,South,POINT (77.5939170002161 12.9319170000067),77.5939170002161,12.9319170000067
50,Hosakerehalli,161,"Hosakerehalli, near D'souza Nagara",50,South,POINT (77.5353230002493 12.9320229995686),77.5353230002493,12.9320229995686
51,Rajarajeshwari Nagar,160,Ideal Homes beside Akkamahadevi choultry,51,RR Nagar,POINT (77.5168580003841 12.9327910000653),77.5168580003841,12.9327910000653
52,Byrasandra,169,Byrasandara Fire station,52,South,POINT (77.5889720000425 12.9329440004321),77.5889720000425,12.9329440004321
53,Ejipura,148,Koramangala 4 th block,53,South,POINT (77.6303889996797 12.9338059995997),77.6303889996797,12.9338059995997
54,Ejipura,148,ST Bed Koramangala,54,South,POINT (77.6301390003163 12.9347220002171),77.6301390003163,12.9347220002171
55,Varthuru,149,Panathur,55,Mahadevapura,POINT (77.7050130001721 12.9363549996158),77.7050130001721,12.9363549996158
56,Koramangala,151,Sony Signal to Maharaja signal in Koramangala,56,South,POINT (77.6264169996428 12.9368889998067),77.6264169996428,12.9368889998067
57,Varthuru,149,Varthur police station,57,Mahadevapura,POINT (77.7468440000649 12.9380780003797),77.7468440000649,12.9380780003797
58,Ejipura,148,Ejipura Ashwini layout,58,South,POINT (77.6287500002291 12.9386389997591),77.6287500002291,12.9386389997591
59,Varthuru,149,Balagere,59,Mahadevapura,POINT (77.7231780003678 12.9389319999565),77.7231780003678,12.9389319999565
