"STN
Code",Name Of Monitoring Location,Use Based Class,Temperature,"Dissolved O2
(mg/L)",pH,"Conductivity (&micro;mho
/cm)","BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/
100ml)","Total Coliform (MPN/
100ml)","Fecal Streptococci (MPN/
100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolpht halein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammoni cal-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Calcium as Ca,Mg as CaCo3 (mg/L),Magnesi um as mg,Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspende d Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percenta ge,SAR,Ortho Phosphate (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Iron (mg/L),Manganese (mg/L)
1388,Ulsoor Lake Training Centre Of Fish Breeding,"E (Irrigation, industrial cooling and controlled waste)",30,6.2,10,418,4,1.5,0.02(BDL),220,2400,NA,12,48,157,24,60,48,48,1.5(BDL),0.4,60,32,13,28,7,16,50,278,194,0.2(BDL),0.5(BDL),16,0.2(BDL),57,3,0.36,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.059,0.36,0.00043(BDL)
2778,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",27,4.4,7.2,1147,8,4,0.02(BDL),6.8,63,23,3(BDL),256,1.8,5(BDL),256,220,80,1.5(BDL),0.69,324,168,67,156,38,25,112,770,10(BDL),3.2,0.5(BDL),24,0.32,41,3,8.9,NA,NA,NA,NA,NA,NA,NA,NA
3589,Madiwala Tank,"D (Propagation of wild life,fisheries)",26,4.4,7.5,1051,5,0.5,0.02(BDL),3300,7900,NA,3(BDL),148,12,5(BDL),146,260,60,1.5(BDL),0.5,220,116,46,104,25,39,172,714,20,0.2(BDL),0.5(BDL),20,0.32,60,5,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.298,0.00043(BDL)
3590,Lalbagh Tank,"D (Propagation of wild life,fisheries)",25,7.1,8.2,529,4,0.9,0.02(BDL),3300,13000,NA,3(BDL),120,8,5(BDL),120,76,48,1.5(BDL),0.4,68,48,46,20,5,11,53,360,20,0.2(BDL),0.5(BDL),8,0.4,59,2.8,0.45,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.045,1.449,0.00043(BDL)
3591,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",26,3.4,6.8,434,16,1.3,0.02(BDL),2300,9400,NA,3(BDL),160,12,5(BDL),160,52,112,1.7,1.3,140,72,46,68,17,9,40,295,30,0.32,0.5(BDL),6,0.2(BDL),37,1.5,0.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.057,0.987,0.124
3592,Yediyur Tank,"D (Propagation of wild life,fisheries)",25,6.3,7.5,253,4,0.9,0.02(BDL),1400,14000,NA,3(BDL),68,5.6,5(BDL),68,40,40,1.5(BDL),0.4,60,36,46,24,6,7,24,172,24,0.2(BDL),0.5(BDL),3,0.2(BDL),45,1.3,0.46,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.043,0.895,0.00043(BDL)
3593,Ulsoor Lake Temple,"E (Irrigation, industrial cooling and controlled waste)",30,5.8,9.2,403,5,1.4,0.02(BDL),1100,24000,NA,24,40,201,12,64,44,60,1.5(BDL),0.4,80,48,46,32,8,17,50,270,254,0.2(BDL),0.5(BDL),16,0.2(BDL),52,2,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.064,0.326,0.00043(BDL)
3594,Sankey Tank,"D (Propagation of wild life,fisheries)",27,5,6.9,556,8,2,0.02(BDL),2400,17000,NA,3(BDL),136,8.3,5(BDL),136,68,74,1.5(BDL),0.8,124,68,46,56,14,14,61,378,10(BDL),0.2(BDL),0.5(BDL),8,0.3,49,2.4,0.12,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.064,0.33,0.086
3595,Byrasandra Tank,"E (Irrigation, industrial cooling and controlled waste)",30,5.4,9.6,438,6,1.5,0.02(BDL),400,4300,NA,16,48,161,24,64,48,56,1.5(BDL),0.4,76,44,46,32,8,20,52,296,198,0.2(BDL),0.5(BDL),16,0.2(BDL),53,3,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.066,0.25,0.00043(BDL)
3596,Nayandanahalli,"E (Irrigation, industrial cooling and controlled waste)",30,2.3,8.5,679,18,2.4,0.74,9400,1700,NA,32,204,32.4,16,236,120,121,2.6,2,164,88,35,76,18,12,72,462,46,0.3,0.5(BDL),17,0.2(BDL),46,2.4,0.5,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.006,0.016,0.803,0.069
