code,mdy,utmx,utmy,depth_in_m,Info,color_hex,WKT,geometry,longitude,latitude
BN1,9/7/2007,779330.0,1437291.0,6.55,"Shanti Sagar Hotel, Near Swastik, North Park Road, Borewell Inside Kitchen. Pump",#66BD63,MULTIPOINT ((77.5749602466877 12.9886407852422)),MULTIPOINT (77.5749602466877 12.9886407852422),77.5749602466877,12.9886407852422
BN2,9/7/2007,779180.0,1437205.0,2.36,"House, Sheshadripuram, 1st main road. No pumping for past 2 yrs (Hardly)- house",#006837,MULTIPOINT ((77.5735704747503 12.987877592877)),MULTIPOINT (77.5735704747503 12.987877592877),77.5735704747503,12.987877592877
BN3,9/7/2007,779148.0,1437320.0,9.8,"Construction site, App Construction, Pumping 3-4 hrs in morning",#D9EF8B,MULTIPOINT ((77.5732863987709 12.9889193712449)),MULTIPOINT (77.5732863987709 12.9889193712449),77.5732863987709,12.9889193712449
BN4,9/7/2007,779158.0,1437258.0,0.56,"House, Open Well, Pumping 3 hrs, morning and evening 1 and half hours",#006837,MULTIPOINT ((77.5733727474851 12.9883583785962)),MULTIPOINT (77.5733727474851 12.9883583785962),77.5733727474851,12.9883583785962
BN5,9/7/2007,779173.0,1437079.0,4.5,"Construction site appartment, 2 borewells, 6 hrs continuous pumping bet 10am to",#66BD63,MULTIPOINT ((77.5734942681731 12.9867400043419)),MULTIPOINT (77.5734942681731 12.9867400043419),77.5734942681731,12.9867400043419
BN6,9/7/2007,779150.0,1437060.0,4.78,"Construction site appartment, 2 borewells, 6 hrs continuous pumping bet 10am to",#66BD63,MULTIPOINT ((77.5732806307231 12.9865704654)),MULTIPOINT (77.5732806307231 12.9865704654),77.5732806307231,12.9865704654
BN7,9/7/2007,779180.0,1437037.0,4.81,"House, Opp to Previous, Pumping automatic, fills tank 3600 lts serving 15 people",#66BD63,MULTIPOINT ((77.5735548423528 12.9863599565085)),MULTIPOINT (77.5735548423528 12.9863599565085),77.5735548423528,12.9863599565085
BN8,9/7/2007,779174.0,1436841.0,8.72,Public Borewell for drinking (Risaldar Park Road) Pumping morning I hr 6am and e,#66BD63,MULTIPOINT ((77.5734813371738 12.9845899278824)),MULTIPOINT (77.5734813371738 12.9845899278824),77.5734813371738,12.9845899278824
BN9,9/7/2007,779147.0,1436880.0,8.6,"Police quarters (Risaldar Park Road), 4 Bldg-30 houses, Pumping 2 hrs morning, 2",#66BD63,MULTIPOINT ((77.5732362504407 12.9849446995632)),MULTIPOINT (77.5732362504407 12.9849446995632),77.5732362504407,12.9849446995632
BN10,9/7/2007,779327.0,1436874.0,12.75,"Blind School, Other side of SC Road, Higher elevation, pumping duration unknown",#D9EF8B,MULTIPOINT ((77.5748937902507 12.9848740728111)),MULTIPOINT (77.5748937902507 12.9848740728111),77.5748937902507,12.9848740728111
BS1,9/13/2007,778917.0,1435699.0,4.65,"Hotel Adarsha Palace, Tank Bund Road, Opp KSRTC Terminal. Borewell not in use. N",#66BD63,MULTIPOINT ((77.5710078461027 12.9742970228532)),MULTIPOINT (77.5710078461027 12.9742970228532),77.5710078461027,12.9742970228532
BS2,9/13/2007,778940.0,1435702.0,4.86,"Hotel Mahaveer, Adjuscent to previous point well gets water when it is raining.",#66BD63,MULTIPOINT ((77.5712199843121 12.974322028857)),MULTIPOINT (77.5712199843121 12.974322028857),77.5712199843121,12.974322028857
BS3,9/13/2007,778905.0,1435681.0,4.56,"Dhanalaxmi Hotel, Upparpet, 5 hrs pumping morning and evening, 1 inch pipe",#66BD63,MULTIPOINT ((77.5708956391997 12.974135511284)),MULTIPOINT (77.5708956391997 12.974135511284),77.5708956391997,12.974135511284
BS4,9/13/2007,779076.0,1435523.0,0.76,"House, OTC road cross,Upparpet, small open well, Sewage water mixes ground water",#006837,MULTIPOINT ((77.5724560879206 12.972692630622)),MULTIPOINT (77.5724560879206 12.972692630622),77.5724560879206,12.972692630622
BS5,9/13/2007,779050.0,1435583.0,0.77,"L T Park, Tank Bund Road, Upparpet, Open well 5mx5m. In summer water level goes",#006837,MULTIPOINT ((77.5722221700211 12.9732370135581)),MULTIPOINT (77.5722221700211 12.9732370135581),77.5722221700211,12.9732370135581
BS6,9/13/2007,779032.0,1435419.0,1.93,"House, Akkipet main road, two pipes 1.5 inch and 1 inch",#006837,MULTIPOINT ((77.5720411342315 12.9717571478289)),MULTIPOINT (77.5720411342315 12.9717571478289),77.5720411342315,12.9717571478289
BS7,9/13/2007,779021.0,1435323.0,0.3,"House, Akkipet main road, Open well",#006837,MULTIPOINT ((77.571930895253 12.9708909268563)),MULTIPOINT (77.571930895253 12.9708909268563),77.571930895253,12.9708909268563
BS8,9/13/2007,779006.0,1435191.0,1.1,"House, Shetty Mudanna lane, Cottonpet cross, Open well",#006837,MULTIPOINT ((77.5717804702343 12.9696998612411)),MULTIPOINT (77.5717804702343 12.9696998612411),77.5717804702343,12.9696998612411
BS9,9/13/2007,779005.0,1435180.0,1.7,"Temple, Shetty Mudanna lane, Cottonpet cross, Open well",#006837,MULTIPOINT ((77.5717702377072 12.9696005829863)),MULTIPOINT (77.5717702377072 12.9696005829863),77.5717702377072,12.9696005829863
BS10,9/13/2007,779018.0,1435084.0,2.2,"Temple, LaxmiNarayana, Akkipet main road, No Puming",#006837,MULTIPOINT ((77.5718810679097 12.9687321759813)),MULTIPOINT (77.5718810679097 12.9687321759813),77.5718810679097,12.9687321759813
BS11,9/13/2007,778995.0,1435089.0,2.32,"Contruction Appartment, Akkipet main road. 2 hrs pumping, 1.25 inch pipe",#006837,MULTIPOINT ((77.5716696773579 12.9687794382401)),MULTIPOINT (77.5716696773579 12.9687794382401),77.5716696773579,12.9687794382401
